Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,5/22/2024,5/23/2024,CUST274,Ranbir Nayar,Home Office,PROD8330,Rice Bag,Grocery,East,Tamil Nadu,Hajipur,10,156,10,1404,1013.48,390.52,UPI,Cancelled,Bhavsar PLC,mpatla@kar.info,12,No,0
ORD1001,3/18/2026,3/20/2026,CUST277,Vaishnavi Nazareth,Consumer,PROD9766,Rice Bag,Grocery,South,Gujarat,Bhiwandi,10,3023,5,28718.5,21391.49,7327.01,Cash,Pending,"Choudhry, Singh and Padmanabhan",janaki38@banik.com,10,No,0
ORD1002,5/26/2024,5/27/2024,CUST594,Arya Gokhale,Corporate,PROD4043,Sugar,Grocery,North,West Bengal,Hosur,3,4465,15,11385.75,8795.95,2589.8,Cash,Return,Kunda-Arora,bhattacharyyaagastya@vasa.biz,14,No,0
ORD1003,10/9/2025,10/14/2025,CUST773,Jairaj Dass,Home Office,PROD4169,Office Chair,Furniture,South,Himachal Pradesh,Amravati,4,3034,0,12136,9041.1,3094.9,Credit Card,Return,Mukhopadhyay Ltd,jatin61@trivedi.com,23,No,0
ORD1004,9/7/2025,9/11/2025,CUST924,David Oza,Home Office,PROD5929,Bookshelf,Furniture,West,Arunachal Pradesh,Nandyal,2,4984,15,8472.8,5448.45,3024.35,Credit Card,Pending,Sastry Group,falan46@lata-sant.com,33,No,0
ORD1005,1/21/2025,1/27/2025,CUST409,Gaurika Walla,Consumer,PROD8827,Calculator,Office Supplies,South,Rajasthan,Nashik,1,184,20,147.2,102.44,44.76,Credit Card,Pending,Badami Ltd,cghose@bhalla.com,3,Yes,36
ORD1006,11/14/2025,11/20/2025,CUST294,Ekaraj Sahni,Corporate,PROD7918,File Folder,Office Supplies,East,Haryana,Pali,8,205,10,1476,1243.94,232.06,Net Banking,Return,Garg Ltd,ridhibali@sachar.biz,42,No,0
ORD1007,8/25/2024,8/26/2024,CUST305,Qadim Wason,Corporate,PROD9941,Notebook,Office Supplies,East,West Bengal,Malda,8,2322,10,16718.4,10395.55,6322.85,Net Banking,Return,Dhingra-Prabhu,qadimsidhu@zacharia.com,40,No,0
ORD1008,9/7/2024,9/10/2024,CUST897,Sai Patla,Consumer,PROD6715,Calculator,Office Supplies,North,Chhattisgarh,Raiganj,4,4121,5,15659.8,12215.32,3444.48,Net Banking,Cancelled,Kar-Dugar,daliadivya@chanda.org,5,Yes,43
ORD1009,12/15/2024,12/19/2024,CUST691,Balvan Chawla,Home Office,PROD9404,Office Chair,Furniture,North,Andhra Pradesh,Jorhat,10,3988,20,31904,26822.44,5081.56,Credit Card,Pending,Rattan-Sankar,hemabhandari@jayaraman-sha.org,4,Yes,21
